index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
25.0,24.0,21.0,24.0,18.0,19.0,25.0,24.0,23.0,21.0,21.0,21.0,25.0,21.0,23.0,25.0,21.0,24.0,23.0,19.0,21.0,19.0,19.0,25.0,23.0,18.0,21.0,25.0,20.0,19.0,24.0,18.0,18.0,20.0,24.0,23.0,21.0,19.0,25.0,25.0,25.0,24.0,24.0,20.0,19.0,23.0,23.0,22.0,21.0,22.0
4.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,2.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,5.0,2.0,5.0,1.0,2.0,3.0,2.0
5.0,2.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,4.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,4.0,5.0,1.0,2.0,3.0
4.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0,2.0,5.0,4.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0
2.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,2.0,2.0,5.0,1.0,3.0,5.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,4.0,2.0
1.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,5.0,2.0,5.0,3.0,2.0,1.0,4.0,2.0,5.0,5.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,3.0,4.0,2.0,2.0
4.0,2.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,1.0,1.0,5.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0
3.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,2.0,5.0,5.0,5.0,1.0,4.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,5.0,5.0,3.0,4.0
5.0,4.0,1.0,3.0,1.0,1.0,2.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,5.0,5.0,4.0,1.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,2.0,2.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0
2.0,3.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,3.0,1.0,5.0,3.0,5.0,4.0,2.0,1.0,1.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,3.0,5.0,1.0,4.0,2.0,2.0,1.0,5.0
2.0,1.0,5.0,4.0,2.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,2.0,4.0,5.0,2.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,5.0,3.0,5.0,5.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0
20.0,24.0,24.0,22.0,18.0,23.0,22.0,21.0,20.0,20.0,18.0,21.0,22.0,19.0,22.0,19.0,22.0,19.0,24.0,22.0,22.0,25.0,20.0,18.0,24.0,24.0,21.0,23.0,19.0,18.0,24.0,20.0,24.0,25.0,21.0,22.0,22.0,20.0,21.0,18.0,24.0,19.0,19.0,23.0,21.0,19.0,21.0,24.0,21.0,19.0
19.0,25.0,25.0,18.0,22.0,20.0,23.0,19.0,19.0,22.0,22.0,24.0,21.0,20.0,23.0,22.0,18.0,22.0,24.0,18.0,19.0,19.0,25.0,25.0,19.0,22.0,23.0,25.0,23.0,24.0,18.0,18.0,18.0,22.0,18.0,20.0,21.0,23.0,22.0,24.0,18.0,21.0,22.0,21.0,23.0,20.0,23.0,22.0,20.0,20.0
19.0,19.0,25.0,20.0,25.0,25.0,25.0,21.0,18.0,25.0,24.0,18.0,23.0,19.0,23.0,24.0,24.0,25.0,19.0,21.0,25.0,24.0,19.0,20.0,18.0,21.0,22.0,24.0,25.0,23.0,20.0,24.0,25.0,25.0,20.0,24.0,18.0,18.0,23.0,18.0,19.0,22.0,19.0,22.0,24.0,18.0,23.0,23.0,22.0,19.0
19.0,18.0,24.0,23.0,18.0,18.0,22.0,25.0,22.0,24.0,23.0,23.0,23.0,24.0,18.0,19.0,21.0,21.0,22.0,24.0,21.0,19.0,21.0,23.0,19.0,24.0,24.0,18.0,21.0,20.0,21.0,22.0,21.0,22.0,23.0,18.0,24.0,23.0,24.0,20.0,25.0,22.0,24.0,24.0,18.0,25.0,19.0,20.0,23.0,19.0
21.0,20.0,18.0,23.0,18.0,21.0,20.0,24.0,19.0,24.0,24.0,19.0,22.0,19.0,23.0,19.0,19.0,21.0,23.0,22.0,19.0,23.0,18.0,23.0,20.0,23.0,18.0,23.0,22.0,20.0,18.0,23.0,25.0,22.0,22.0,25.0,23.0,18.0,23.0,25.0,20.0,23.0,20.0,23.0,24.0,24.0,23.0,22.0,22.0,19.0
19.0,25.0,24.0,21.0,22.0,21.0,19.0,24.0,19.0,23.0,18.0,22.0,21.0,25.0,23.0,25.0,19.0,25.0,19.0,19.0,23.0,18.0,19.0,20.0,18.0,24.0,23.0,20.0,18.0,19.0,19.0,21.0,23.0,24.0,22.0,20.0,22.0,18.0,23.0,18.0,25.0,21.0,22.0,23.0,23.0,18.0,24.0,19.0,22.0,21.0
23.0,25.0,19.0,23.0,20.0,19.0,20.0,18.0,22.0,18.0,25.0,23.0,23.0,21.0,23.0,24.0,21.0,20.0,24.0,20.0,19.0,20.0,25.0,22.0,20.0,20.0,19.0,22.0,21.0,25.0,25.0,25.0,24.0,20.0,20.0,20.0,24.0,23.0,24.0,21.0,19.0,23.0,18.0,20.0,25.0,24.0,22.0,22.0,18.0,21.0
20.0,23.0,18.0,25.0,24.0,21.0,23.0,25.0,18.0,24.0,22.0,22.0,25.0,24.0,23.0,23.0,18.0,23.0,19.0,24.0,23.0,20.0,21.0,20.0,22.0,23.0,21.0,21.0,24.0,24.0,18.0,20.0,23.0,22.0,19.0,18.0,25.0,18.0,23.0,22.0,24.0,21.0,24.0,24.0,20.0,23.0,24.0,25.0,21.0,24.0
25.0,20.0,21.0,20.0,22.0,25.0,24.0,19.0,20.0,19.0,24.0,18.0,21.0,21.0,23.0,25.0,21.0,24.0,19.0,21.0,21.0,24.0,22.0,21.0,23.0,25.0,22.0,25.0,19.0,24.0,24.0,21.0,22.0,24.0,20.0,19.0,18.0,22.0,23.0,19.0,22.0,22.0,23.0,19.0,24.0,21.0,18.0,22.0,22.0,19.0
25.0,24.0,21.0,24.0,18.0,19.0,25.0,24.0,23.0,21.0,21.0,21.0,25.0,21.0,23.0,25.0,21.0,24.0,23.0,19.0,21.0,19.0,19.0,25.0,23.0,18.0,21.0,25.0,20.0,19.0,24.0,18.0,18.0,20.0,24.0,23.0,21.0,19.0,25.0,25.0,25.0,24.0,24.0,20.0,19.0,23.0,23.0,22.0,21.0,22.0
4.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,2.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,5.0,2.0,5.0,1.0,2.0,3.0,2.0
5.0,2.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,4.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,4.0,5.0,1.0,2.0,3.0
4.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0,2.0,5.0,4.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0
2.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,2.0,2.0,5.0,1.0,3.0,5.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,4.0,2.0
1.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,5.0,2.0,5.0,3.0,2.0,1.0,4.0,2.0,5.0,5.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,3.0,4.0,2.0,2.0
4.0,2.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,1.0,1.0,5.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0
3.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,2.0,5.0,5.0,5.0,1.0,4.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,5.0,5.0,3.0,4.0
5.0,4.0,1.0,3.0,1.0,1.0,2.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,5.0,5.0,4.0,1.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,2.0,2.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0
2.0,3.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,3.0,1.0,5.0,3.0,5.0,4.0,2.0,1.0,1.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,3.0,5.0,1.0,4.0,2.0,2.0,1.0,5.0
2.0,1.0,5.0,4.0,2.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,2.0,4.0,5.0,2.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,5.0,3.0,5.0,5.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0
20.0,24.0,24.0,22.0,18.0,23.0,22.0,21.0,20.0,20.0,18.0,21.0,22.0,19.0,22.0,19.0,22.0,19.0,24.0,22.0,22.0,25.0,20.0,18.0,24.0,24.0,21.0,23.0,19.0,18.0,24.0,20.0,24.0,25.0,21.0,22.0,22.0,20.0,21.0,18.0,24.0,19.0,19.0,23.0,21.0,19.0,21.0,24.0,21.0,19.0
