id,name,best_for_wear,gender,image_url,dominant_color,sub_color1,sub_color2,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41,Extra_Feature_42
772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0
36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0
11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0
33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0
807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0
19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0
11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0
19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0
19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0
15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0
33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0
33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0
34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0
15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0
19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0
772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0
807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0
15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0
33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0
772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0
36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0
11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0
33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0
807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0
19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0
11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0
19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0
19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0
15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0
33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0
33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0
34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0
15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0
19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0
772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0
807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0
15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0
33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0
772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0
36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0
11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0
33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0
807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0
19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0
11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0
19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0
19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0
15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0
33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0,33200.0,772109.0,19310.0,807295.0,19228.0,15110.0,11040.0,33201.0,33200.0,19310.0,772109.0,807295.0,34563.0,36516.0,15110.0,15110.0,11040.0,19228.0,33201.0
