timestamp,orientation,No,Yes,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41,Extra_Feature_42,Extra_Feature_43,Extra_Feature_44,Extra_Feature_45,Extra_Feature_46
14.0,37.0,30.0,10.0,9.0,35.0,2.0,42.0,11.0,2.0,21.0,12.0,10.0,14.0,7.0,37.0,29.0,1.0,27.0,48.0,45.0,9.0,20.0,40.0,38.0,12.0,42.0,19.0,46.0,38.0,1.0,42.0,35.0,8.0,44.0,3.0,40.0,23.0,20.0,6.0,43.0,19.0,3.0,16.0,28.0,33.0,38.0,25.0,2.0,46.0
31.0,47.0,6.0,18.0,32.0,23.0,39.0,33.0,42.0,9.0,16.0,32.0,15.0,27.0,35.0,40.0,19.0,49.0,12.0,8.0,45.0,30.0,48.0,42.0,32.0,20.0,16.0,3.0,17.0,20.0,11.0,22.0,33.0,21.0,16.0,5.0,47.0,9.0,25.0,44.0,44.0,37.0,17.0,13.0,6.0,4.0,29.0,7.0,15.0,37.0
13.0,10.0,14.0,39.0,5.0,38.0,38.0,20.0,48.0,43.0,17.0,37.0,25.0,45.0,34.0,14.0,30.0,16.0,17.0,40.0,2.0,35.0,14.0,22.0,11.0,24.0,25.0,10.0,9.0,15.0,16.0,16.0,30.0,42.0,8.0,17.0,47.0,5.0,49.0,48.0,45.0,36.0,2.0,16.0,24.0,26.0,49.0,29.0,31.0,6.0
7.0,17.0,42.0,11.0,1.0,9.0,1.0,24.0,26.0,22.0,49.0,44.0,48.0,4.0,27.0,33.0,45.0,19.0,39.0,22.0,23.0,44.0,17.0,39.0,37.0,42.0,31.0,47.0,40.0,34.0,32.0,42.0,36.0,21.0,13.0,42.0,2.0,39.0,49.0,36.0,4.0,22.0,29.0,43.0,3.0,3.0,17.0,36.0,41.0,11.0
8.0,7.0,23.0,42.0,32.0,32.0,40.0,23.0,32.0,14.0,20.0,1.0,46.0,12.0,42.0,4.0,9.0,11.0,32.0,36.0,12.0,13.0,48.0,40.0,23.0,35.0,11.0,11.0,3.0,11.0,20.0,19.0,45.0,5.0,43.0,30.0,48.0,47.0,27.0,38.0,29.0,12.0,33.0,27.0,10.0,7.0,43.0,10.0,22.0,13.0
17.0,8.0,45.0,5.0,36.0,39.0,7.0,7.0,8.0,42.0,20.0,20.0,2.0,19.0,30.0,42.0,7.0,17.0,45.0,35.0,24.0,35.0,23.0,16.0,1.0,32.0,43.0,4.0,46.0,15.0,13.0,20.0,20.0,18.0,31.0,2.0,14.0,12.0,11.0,9.0,46.0,1.0,35.0,11.0,23.0,14.0,12.0,47.0,49.0,33.0
11.0,27.0,4.0,42.0,9.0,16.0,4.0,22.0,44.0,39.0,12.0,5.0,24.0,17.0,47.0,41.0,25.0,35.0,22.0,20.0,25.0,3.0,43.0,32.0,36.0,27.0,28.0,44.0,32.0,15.0,19.0,2.0,44.0,36.0,8.0,28.0,45.0,6.0,35.0,49.0,40.0,11.0,27.0,43.0,33.0,27.0,1.0,7.0,1.0,44.0
37.0,11.0,3.0,22.0,46.0,42.0,46.0,12.0,23.0,24.0,21.0,12.0,22.0,16.0,4.0,44.0,48.0,43.0,10.0,44.0,45.0,27.0,4.0,16.0,31.0,44.0,34.0,13.0,33.0,39.0,26.0,42.0,22.0,24.0,27.0,41.0,1.0,29.0,34.0,9.0,49.0,42.0,30.0,14.0,7.0,32.0,46.0,5.0,15.0,36.0
45.0,6.0,30.0,1.0,22.0,34.0,26.0,28.0,21.0,28.0,29.0,43.0,2.0,8.0,23.0,34.0,6.0,15.0,44.0,46.0,25.0,17.0,8.0,11.0,36.0,24.0,18.0,4.0,48.0,8.0,8.0,27.0,7.0,40.0,27.0,17.0,44.0,47.0,43.0,18.0,47.0,32.0,33.0,18.0,2.0,35.0,32.0,36.0,22.0,28.0
28.0,42.0,36.0,29.0,47.0,16.0,19.0,35.0,36.0,39.0,41.0,38.0,11.0,6.0,31.0,1.0,49.0,31.0,40.0,16.0,8.0,27.0,34.0,32.0,28.0,20.0,3.0,33.0,40.0,17.0,15.0,9.0,42.0,26.0,47.0,26.0,14.0,3.0,3.0,39.0,10.0,13.0,16.0,34.0,26.0,22.0,43.0,17.0,26.0,27.0
14.0,37.0,30.0,10.0,9.0,35.0,2.0,42.0,11.0,2.0,21.0,12.0,10.0,14.0,7.0,37.0,29.0,1.0,27.0,48.0,45.0,9.0,20.0,40.0,38.0,12.0,42.0,19.0,46.0,38.0,1.0,42.0,35.0,8.0,44.0,3.0,40.0,23.0,20.0,6.0,43.0,19.0,3.0,16.0,28.0,33.0,38.0,25.0,2.0,46.0
31.0,47.0,6.0,18.0,32.0,23.0,39.0,33.0,42.0,9.0,16.0,32.0,15.0,27.0,35.0,40.0,19.0,49.0,12.0,8.0,45.0,30.0,48.0,42.0,32.0,20.0,16.0,3.0,17.0,20.0,11.0,22.0,33.0,21.0,16.0,5.0,47.0,9.0,25.0,44.0,44.0,37.0,17.0,13.0,6.0,4.0,29.0,7.0,15.0,37.0
13.0,10.0,14.0,39.0,5.0,38.0,38.0,20.0,48.0,43.0,17.0,37.0,25.0,45.0,34.0,14.0,30.0,16.0,17.0,40.0,2.0,35.0,14.0,22.0,11.0,24.0,25.0,10.0,9.0,15.0,16.0,16.0,30.0,42.0,8.0,17.0,47.0,5.0,49.0,48.0,45.0,36.0,2.0,16.0,24.0,26.0,49.0,29.0,31.0,6.0
7.0,17.0,42.0,11.0,1.0,9.0,1.0,24.0,26.0,22.0,49.0,44.0,48.0,4.0,27.0,33.0,45.0,19.0,39.0,22.0,23.0,44.0,17.0,39.0,37.0,42.0,31.0,47.0,40.0,34.0,32.0,42.0,36.0,21.0,13.0,42.0,2.0,39.0,49.0,36.0,4.0,22.0,29.0,43.0,3.0,3.0,17.0,36.0,41.0,11.0
8.0,7.0,23.0,42.0,32.0,32.0,40.0,23.0,32.0,14.0,20.0,1.0,46.0,12.0,42.0,4.0,9.0,11.0,32.0,36.0,12.0,13.0,48.0,40.0,23.0,35.0,11.0,11.0,3.0,11.0,20.0,19.0,45.0,5.0,43.0,30.0,48.0,47.0,27.0,38.0,29.0,12.0,33.0,27.0,10.0,7.0,43.0,10.0,22.0,13.0
17.0,8.0,45.0,5.0,36.0,39.0,7.0,7.0,8.0,42.0,20.0,20.0,2.0,19.0,30.0,42.0,7.0,17.0,45.0,35.0,24.0,35.0,23.0,16.0,1.0,32.0,43.0,4.0,46.0,15.0,13.0,20.0,20.0,18.0,31.0,2.0,14.0,12.0,11.0,9.0,46.0,1.0,35.0,11.0,23.0,14.0,12.0,47.0,49.0,33.0
11.0,27.0,4.0,42.0,9.0,16.0,4.0,22.0,44.0,39.0,12.0,5.0,24.0,17.0,47.0,41.0,25.0,35.0,22.0,20.0,25.0,3.0,43.0,32.0,36.0,27.0,28.0,44.0,32.0,15.0,19.0,2.0,44.0,36.0,8.0,28.0,45.0,6.0,35.0,49.0,40.0,11.0,27.0,43.0,33.0,27.0,1.0,7.0,1.0,44.0
37.0,11.0,3.0,22.0,46.0,42.0,46.0,12.0,23.0,24.0,21.0,12.0,22.0,16.0,4.0,44.0,48.0,43.0,10.0,44.0,45.0,27.0,4.0,16.0,31.0,44.0,34.0,13.0,33.0,39.0,26.0,42.0,22.0,24.0,27.0,41.0,1.0,29.0,34.0,9.0,49.0,42.0,30.0,14.0,7.0,32.0,46.0,5.0,15.0,36.0
45.0,6.0,30.0,1.0,22.0,34.0,26.0,28.0,21.0,28.0,29.0,43.0,2.0,8.0,23.0,34.0,6.0,15.0,44.0,46.0,25.0,17.0,8.0,11.0,36.0,24.0,18.0,4.0,48.0,8.0,8.0,27.0,7.0,40.0,27.0,17.0,44.0,47.0,43.0,18.0,47.0,32.0,33.0,18.0,2.0,35.0,32.0,36.0,22.0,28.0
28.0,42.0,36.0,29.0,47.0,16.0,19.0,35.0,36.0,39.0,41.0,38.0,11.0,6.0,31.0,1.0,49.0,31.0,40.0,16.0,8.0,27.0,34.0,32.0,28.0,20.0,3.0,33.0,40.0,17.0,15.0,9.0,42.0,26.0,47.0,26.0,14.0,3.0,3.0,39.0,10.0,13.0,16.0,34.0,26.0,22.0,43.0,17.0,26.0,27.0
14.0,37.0,30.0,10.0,9.0,35.0,2.0,42.0,11.0,2.0,21.0,12.0,10.0,14.0,7.0,37.0,29.0,1.0,27.0,48.0,45.0,9.0,20.0,40.0,38.0,12.0,42.0,19.0,46.0,38.0,1.0,42.0,35.0,8.0,44.0,3.0,40.0,23.0,20.0,6.0,43.0,19.0,3.0,16.0,28.0,33.0,38.0,25.0,2.0,46.0
31.0,47.0,6.0,18.0,32.0,23.0,39.0,33.0,42.0,9.0,16.0,32.0,15.0,27.0,35.0,40.0,19.0,49.0,12.0,8.0,45.0,30.0,48.0,42.0,32.0,20.0,16.0,3.0,17.0,20.0,11.0,22.0,33.0,21.0,16.0,5.0,47.0,9.0,25.0,44.0,44.0,37.0,17.0,13.0,6.0,4.0,29.0,7.0,15.0,37.0
13.0,10.0,14.0,39.0,5.0,38.0,38.0,20.0,48.0,43.0,17.0,37.0,25.0,45.0,34.0,14.0,30.0,16.0,17.0,40.0,2.0,35.0,14.0,22.0,11.0,24.0,25.0,10.0,9.0,15.0,16.0,16.0,30.0,42.0,8.0,17.0,47.0,5.0,49.0,48.0,45.0,36.0,2.0,16.0,24.0,26.0,49.0,29.0,31.0,6.0
7.0,17.0,42.0,11.0,1.0,9.0,1.0,24.0,26.0,22.0,49.0,44.0,48.0,4.0,27.0,33.0,45.0,19.0,39.0,22.0,23.0,44.0,17.0,39.0,37.0,42.0,31.0,47.0,40.0,34.0,32.0,42.0,36.0,21.0,13.0,42.0,2.0,39.0,49.0,36.0,4.0,22.0,29.0,43.0,3.0,3.0,17.0,36.0,41.0,11.0
8.0,7.0,23.0,42.0,32.0,32.0,40.0,23.0,32.0,14.0,20.0,1.0,46.0,12.0,42.0,4.0,9.0,11.0,32.0,36.0,12.0,13.0,48.0,40.0,23.0,35.0,11.0,11.0,3.0,11.0,20.0,19.0,45.0,5.0,43.0,30.0,48.0,47.0,27.0,38.0,29.0,12.0,33.0,27.0,10.0,7.0,43.0,10.0,22.0,13.0
17.0,8.0,45.0,5.0,36.0,39.0,7.0,7.0,8.0,42.0,20.0,20.0,2.0,19.0,30.0,42.0,7.0,17.0,45.0,35.0,24.0,35.0,23.0,16.0,1.0,32.0,43.0,4.0,46.0,15.0,13.0,20.0,20.0,18.0,31.0,2.0,14.0,12.0,11.0,9.0,46.0,1.0,35.0,11.0,23.0,14.0,12.0,47.0,49.0,33.0
11.0,27.0,4.0,42.0,9.0,16.0,4.0,22.0,44.0,39.0,12.0,5.0,24.0,17.0,47.0,41.0,25.0,35.0,22.0,20.0,25.0,3.0,43.0,32.0,36.0,27.0,28.0,44.0,32.0,15.0,19.0,2.0,44.0,36.0,8.0,28.0,45.0,6.0,35.0,49.0,40.0,11.0,27.0,43.0,33.0,27.0,1.0,7.0,1.0,44.0
37.0,11.0,3.0,22.0,46.0,42.0,46.0,12.0,23.0,24.0,21.0,12.0,22.0,16.0,4.0,44.0,48.0,43.0,10.0,44.0,45.0,27.0,4.0,16.0,31.0,44.0,34.0,13.0,33.0,39.0,26.0,42.0,22.0,24.0,27.0,41.0,1.0,29.0,34.0,9.0,49.0,42.0,30.0,14.0,7.0,32.0,46.0,5.0,15.0,36.0
45.0,6.0,30.0,1.0,22.0,34.0,26.0,28.0,21.0,28.0,29.0,43.0,2.0,8.0,23.0,34.0,6.0,15.0,44.0,46.0,25.0,17.0,8.0,11.0,36.0,24.0,18.0,4.0,48.0,8.0,8.0,27.0,7.0,40.0,27.0,17.0,44.0,47.0,43.0,18.0,47.0,32.0,33.0,18.0,2.0,35.0,32.0,36.0,22.0,28.0
28.0,42.0,36.0,29.0,47.0,16.0,19.0,35.0,36.0,39.0,41.0,38.0,11.0,6.0,31.0,1.0,49.0,31.0,40.0,16.0,8.0,27.0,34.0,32.0,28.0,20.0,3.0,33.0,40.0,17.0,15.0,9.0,42.0,26.0,47.0,26.0,14.0,3.0,3.0,39.0,10.0,13.0,16.0,34.0,26.0,22.0,43.0,17.0,26.0,27.0
14.0,37.0,30.0,10.0,9.0,35.0,2.0,42.0,11.0,2.0,21.0,12.0,10.0,14.0,7.0,37.0,29.0,1.0,27.0,48.0,45.0,9.0,20.0,40.0,38.0,12.0,42.0,19.0,46.0,38.0,1.0,42.0,35.0,8.0,44.0,3.0,40.0,23.0,20.0,6.0,43.0,19.0,3.0,16.0,28.0,33.0,38.0,25.0,2.0,46.0
31.0,47.0,6.0,18.0,32.0,23.0,39.0,33.0,42.0,9.0,16.0,32.0,15.0,27.0,35.0,40.0,19.0,49.0,12.0,8.0,45.0,30.0,48.0,42.0,32.0,20.0,16.0,3.0,17.0,20.0,11.0,22.0,33.0,21.0,16.0,5.0,47.0,9.0,25.0,44.0,44.0,37.0,17.0,13.0,6.0,4.0,29.0,7.0,15.0,37.0
13.0,10.0,14.0,39.0,5.0,38.0,38.0,20.0,48.0,43.0,17.0,37.0,25.0,45.0,34.0,14.0,30.0,16.0,17.0,40.0,2.0,35.0,14.0,22.0,11.0,24.0,25.0,10.0,9.0,15.0,16.0,16.0,30.0,42.0,8.0,17.0,47.0,5.0,49.0,48.0,45.0,36.0,2.0,16.0,24.0,26.0,49.0,29.0,31.0,6.0
7.0,17.0,42.0,11.0,1.0,9.0,1.0,24.0,26.0,22.0,49.0,44.0,48.0,4.0,27.0,33.0,45.0,19.0,39.0,22.0,23.0,44.0,17.0,39.0,37.0,42.0,31.0,47.0,40.0,34.0,32.0,42.0,36.0,21.0,13.0,42.0,2.0,39.0,49.0,36.0,4.0,22.0,29.0,43.0,3.0,3.0,17.0,36.0,41.0,11.0
8.0,7.0,23.0,42.0,32.0,32.0,40.0,23.0,32.0,14.0,20.0,1.0,46.0,12.0,42.0,4.0,9.0,11.0,32.0,36.0,12.0,13.0,48.0,40.0,23.0,35.0,11.0,11.0,3.0,11.0,20.0,19.0,45.0,5.0,43.0,30.0,48.0,47.0,27.0,38.0,29.0,12.0,33.0,27.0,10.0,7.0,43.0,10.0,22.0,13.0
17.0,8.0,45.0,5.0,36.0,39.0,7.0,7.0,8.0,42.0,20.0,20.0,2.0,19.0,30.0,42.0,7.0,17.0,45.0,35.0,24.0,35.0,23.0,16.0,1.0,32.0,43.0,4.0,46.0,15.0,13.0,20.0,20.0,18.0,31.0,2.0,14.0,12.0,11.0,9.0,46.0,1.0,35.0,11.0,23.0,14.0,12.0,47.0,49.0,33.0
